,mean,median
,salary_in_usd,salary_in_usd
job_title,,
Data Analytics Lead,405000.0,405000.0
Data Science Tech Lead,375000.0,375000.0
Director of Data Science,294375.0,287500.0
Principal Data Scientist,255500.0,227500.0
Cloud Data Architect,250000.0,250000.0
Applied Data Scientist,238000.0,177000.0
Head of Data,233183.33333333334,220000.0
Machine Learning Software Engineer,217400.0,180000.0
Data Lead,212500.0,212500.0
Head of Data Science,202355.0,195800.0
Computer Vision Engineer,202283.33333333334,205000.0
AI Developer,200000.0,200000.0
Data Science Manager,199379.57692307694,190982.5
Principal Data Engineer,192500.0,192500.0
Applied Scientist,190264.4827586207,191737.5
Principal Machine Learning Engineer,190000.0,190000.0
Data Science Lead,186166.66666666666,168600.0
Machine Learning Infrastructure Engineer,183548.57142857142,186000.0
Data Scientist Lead,183000.0,183000.0
Machine Learning Developer,180000.0,180000.0
Lead Data Scientist,179622.66666666666,190000.0
Research Scientist,179146.2068965517,151800.0
NLP Engineer,176000.0,175000.0
Machine Learning Scientist,175678.57142857142,170000.0
Data Infrastructure Engineer,175051.66666666666,183655.0
Machine Learning Manager,175000.0,175000.0
Machine Learning Engineer,174385.12785388128,164996.0
Business Intelligence Engineer,174150.0,171150.0
ML Engineer,172711.75,181500.0
Principal Data Analyst,170000.0,170000.0
Research Engineer,168156.5806451613,155000.0
Lead Data Engineer,164000.0,160000.0
Data Architect,163092.69072164947,160000.0
Cloud Data Engineer,160000.0,160000.0
Analytics Engineer,159024.34782608695,151000.0
Data Scientist,158283.87537091988,152000.0
Cloud Database Engineer,155000.0,160000.0
Data Engineer,152798.0242557883,145000.0
ETL Developer,151183.75,135235.0
Data Analytics Manager,142301.90476190476,140000.0
Applied Machine Learning Scientist,141550.0,99000.0
Applied Machine Learning Engineer,130000.0,130000.0
Deep Learning Engineer,130000.0,135000.0
BI Developer,129846.15384615384,130000.0
MLOps Engineer,129000.0,129000.0
Data Manager,125645.83333333333,120000.0
Manager Data Management,125000.0,125000.0
Data Analytics Engineer,122500.0,122500.0
Product Data Analyst,120000.0,120000.0
Machine Learning Researcher,120000.0,115000.0
Data Science Engineer,120000.0,120000.0
Data Specialist,119642.85714285714,110000.0
Data Modeler,118900.0,118900.0
Data Analyst,116656.98285714285,110600.0
Data Science Consultant,113750.0,122000.0
AI Scientist,113428.57142857143,120000.0
Lead Data Analyst,108333.33333333333,87000.0
Staff Data Scientist,105000.0,105000.0
Business Data Analyst,104714.28571428571,100000.0
BI Analyst,103000.0,117500.0
Financial Data Analyst,101666.66666666667,100000.0
Data Operations Engineer,98485.0,100000.0
Data Analytics Specialist,95000.0,95000.0
Data Operations Analyst,90562.5,86625.0
Computer Vision Software Engineer,82873.0,82873.0
Data Quality Analyst,82863.33333333333,80000.0
BI Data Analyst,82709.83333333333,77500.0
Data Analytics Consultant,81500.0,81500.0
Big Data Engineer,70000.0,70000.0
BI Data Engineer,60000.0,60000.0
